title,description,url
Computer Science and Engineering,WE ENGINEER EXCELLENCE,https://www1.cs.ucr.edu/news/cse-student-weiteng-chen-received-applied-networking-research-prize
Computer Science and Engineering,WE ENGINEER EXCELLENCE,https://www1.cs.ucr.edu/news/prof-nael-abughazaleh-inducted-to-micro-hall-of-fame
Computer Science and Engineering,WE ENGINEER EXCELLENCE,https://www1.cs.ucr.edu/news/cse-prof-yin-prof-song-and-their-students-received-best-paper-award
Chengyu Song,Dr. Chengyu Song's Home Page,https://www.cs.ucr.edu/~csong/
Computer Science and Engineering,WE ENGINEER EXCELLENCE,https://www1.cs.ucr.edu/news/cyberucr-moving-on-to-national-round-of-cptc
Computer Science and Engineering,WE ENGINEER EXCELLENCE,https://www1.cs.ucr.edu/news/cse-team-received-distinguished-paper-award-in-acm-ccs-2020
CSE Faculty,Tenure-Track Faculty */ /*-->*/,https://www1.cs.ucr.edu/people/faculty
College Leadership,DEAN'S OFFICE LEADERSHIP */ /*-->*/,https://www.engr.ucr.edu/about/college-leadership
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/rajivg
Engaged Learning,Distinguish Yourself,https://engage.ucr.edu/
Engaged Learning,Distinguish Yourself,https://engage.ucr.edu/news
EXCEL+ Career Readiness plus Leadership,Learn. Experience. Engage.,https://excel.ucr.edu/
Campus Collective Peer Mentoring,"UCR's Campus Collective is an exciting new mentoring program for students who are entering college as a freshman or new transfer student.  Students are matched with mentors who are there to offer guidance as students acclimate to life in college.  Mentors will assist mentees in navigating the many adjustments that students often face when attending college for the first time. Mentoring pairs connect by text, phone, email, virtual meeting platform, or in person. ",https://ue.ucr.edu/mentoring
Public Outreach,"June 9, 2016 Cosmic Thursdays – Prof. Gabriela Canalizo Open to the public and free Bourns Hall Room A265 – UC Riverside 6:30 PM We suggest parking in lot 10 June 2, 2016 Torch Club, Re…",https://bigdata.ucr.edu/fields/outreach/
Leadership,"UC Riverside students can take advantage of a range of leadership opportunities on campus, including conferences and events designed specifically for student leaders. Connect with Student Life to learn how you can develop your leadership skills on campus.",https://studentlife.ucr.edu/leadership
Academy of Distinguished Teaching,Teaching Excellence,https://academyteachers.ucr.edu/
2017 FIELDS Data Science and Visualization Workshop,"The FIELDS Program is offering a workshop to train the next generation of researchers in big data analytics and visualization. The workshop is presented by UCR faculty, graduate students and guest …",https://bigdata.ucr.edu/fields/education/workshopwinter2017/
FIELDS Research Internship at UCR,FIELDS Research Internship at UCR We off this opportunity for UCR undergraduates with majors in a STEM fields or visualization to perform research in collaboration with an UCR faculty member. Succe…,https://bigdata.ucr.edu/fields/internships/undergraduate_intership/
Highlanders Vote!,"Join many other UCR students and make your voice heard in every local, state, and federal election. Vote Early! Return your ballots by Nov. 3.",https://vote.ucr.edu/
Fields Summer Internship at JPL – 2018,"The University of California, Riverside and NASA’s Jet Propulsion Laboratory have developed the FIELDS program to train the next generation of scientists and engineers in large-scale data ana…",https://bigdata.ucr.edu/fields/internships/summer-interships/
 - HighlanderLink,"Discover unique opportunities at HighlanderLink! Find and attend events, browse and join organizations, and showcase your involvement.",https://highlanderlink.ucr.edu/organization/theculturalawarenessproject
visavis,  <!– FIELDS –> Menu <!– –> <!–UCR Big Data–> <!– –> Education High School Students Internships Undergraduate ResearchJP…,https://bigdata.ucr.edu/fields/visavis/
gridfire,<!– FIELDS –> Menu <!—-> <!–UCR Big Data–> <!—-> Education High School Students Internships Undergraduate ResearchJPL Summer Internships …,https://bigdata.ucr.edu/fields/gridfire/
Associated Students Program Board,Enjoy • Enhance • Entertain,https://aspb.ucr.edu/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://astro.ucr.edu/lunar-eclipse-viewing/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://astro.ucr.edu/members/postdocs/mariodeleo/
Public Outreach Overview,  <!– FIELDS –> Menu <!– –> <!–UCR Big Data–> <!– –> Education High School Students Internships Undergraduate ResearchJP…,https://bigdata.ucr.edu/fields/outreach-overview/
'Hats' off to UCR alumnus,"In 2016, Christopher Watkins III created Hats",https://chass.ucr.edu/press/2020/04/30/hats-ucr-alumnus
2016-17 FIELDS Graduate Student Fellowship,"2016-17 FIELDS Graduate Student Fellowship The FIELDS Graduate Student Fellowship is a financial package supporting full tuition and fees for one year, a $10,000 summer stipend and given satisfacto…",https://bigdata.ucr.edu/fields/fellowships/graduate-fellowships/
Internship FAQs,  <!– FIELDS –> Menu <!– –> <!–UCR Big Data–> <!– –> Education High School Students Internships Undergraduate ResearchJP…,https://bigdata.ucr.edu/fields/internships/fields-internship-frequently-asked-questions/
FIELDS Intern Presentations sample,Where: Pierce 110 Interns will present their summer work.,https://bigdata.ucr.edu/fields/mc-events/fields-intern-presentations-sample/
highschool17,<!– FIELDS –> Menu <!—-> <!–UCR Big Data–> <!—-> Education High School Students Internships Undergraduate ResearchJPL Summer Internships …,https://bigdata.ucr.edu/fields/highschool17/
Internship FAQs,  <!– FIELDS –> Menu <!– –> <!–UCR Big Data–> <!– –> Education High School Students Internships Undergraduate ResearchJP…,https://bigdata.ucr.edu/fields/internships/fields-internship-frequently-asked-questions/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://campusmap.ucr.edu/directions.php
Meeting at HUB Sample,Where: HUB Come join us at the HUB for lunch.,https://bigdata.ucr.edu/fields/mc-events/meeting-at-hub-sample/
2019-20 FIELDS Graduate Student Fellowship,  <!– FIELDS –> Menu <!– –> <!–UCR Big Data–> <!– –> Education High School Students Internships Undergraduate ResearchJP…,https://bigdata.ucr.edu/fields/fellowships/gradfellow19/
Plants3D NRT Program - Plants3D,"A graduate training program for biologists, engineers, and computational scientists. We meld plant and microbial biology with engineering technologies to discover, design, and deploy plant-inspired solutions for agriculture and biotechnology. […]",https://plants3d.ucr.edu/
Sample Event,This is an event for testing purposes.,https://bigdata.ucr.edu/fields/mc-events/sample-event/
Current Trainee Resources - Plants3D,There is no excerpt because this is a protected post.,https://plants3d.ucr.edu/current-trainees-resources/
UC Riverside helps secure the future of food,"If you’re eating fruits, nuts, grains, or vegetables in a few years, you’ll likely owe a debt of gratitude to UC Riverside. The university has created a program to transition today’s undergraduates into professional scientists solving tomorrow’s farming challenges. The program, called Plants-3D, will train students to discover, design, and deploy biology and engineering solutions to the projected problem of massive-scale food insecurity due to climate change. ",https://news.ucr.edu/articles/2019/10/15/uc-riverside-helps-secure-future-food
Leadership - Plants3D,"Julia Bailey-Serres, Distinguished Professor, Botany & Plant Sciences; Director of CEPCEB and the Plants3D NRT program Ian Wheeldon, Associate Professor, Chemical and Environmental Engineering; Director, Center for Industrial Biotechnology; CEE […]",https://plants3d.ucr.edu/leadership/
Our Work - Plants3D,"Acknowledging NSF for their support: “Funded by the US National Science Foundation, DBI-1922642”. Publications Reyonoso et al., 2022. Gene regulatory networks shape developmental plasticity of root cell types under water […]",https://plants3d.ucr.edu/publications-presentations/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/jamesbur
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/davidn
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/yanranl
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/kdehesh
Discovery increases likelihood of growing food despite drought ,"University of California scientists have discovered genetic data that will help food crops like tomatoes and rice survive longer, more intense periods of drought on our warming planet.",https://news.ucr.edu/articles/2021/05/18/discovery-increases-likelihood-growing-food-despite-drought
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/harveyb
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/cutler
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/wheeldon
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/serres
IIGB Faculty,*/ /*-->*/ Departments Anthropology Bi,https://iigb.ucr.edu/research/faculty
To Apply - Plants3D,"2023 applications are accepted from February 16 to March 9 (4:59pm) Email serres@ucr.edu to receive the portal link Primary Graduate Programs Plant Biology Chemical and Environmental Engineering Genetics, Genomics and […]",https://plants3d.ucr.edu/apply/
Plants3D Events - Plants3D,"Seminars Plants3D hosts speakers each quarter. These talks are placed into existing seminar series, such as the IIGB/CEPCEB Friday noon seminar series. Trainees will interact and host speakers. Our seminars […]",https://plants3d.ucr.edu/plants3d-components/
Plants3D Research Projects - Plants3D,The Plants3D research-training program facilitates the convergence of engineering and plant/microbe synthetic biology to enhance crop resilience and develop new biological manufacturing processes. Research on resilience to environmental pressures such […],https://plants3d.ucr.edu/research/
Our Trainees - Plants3D,"2020 Cohort Alex Borowsky – My motivation as a plant biologist is to impact global food security, which is especially important now in a time when climate change threatens crop […]",https://plants3d.ucr.edu/our-trainees/
Program Overview - Plants3D,Team-focused training that merges biology and engineering and fosters entrepreneurial skill to move lab discoveries to the field or market. The urgent need to improve the environmental resilience of plants […],https://plants3d.ucr.edu/training/
Welcome !,MIRO FIELDS Research Program,https://bigdata.ucr.edu/fields/2015/08/13/hello-world/
Robert Jinkerson,Robert Jinkerson,https://jinkersonlab.engr.ucr.edu/people/robert_jinkerson/
Dynamic Genome Program,Neil A. Campbell Science Learning Laboratory,https://dynamicgenome.ucr.edu/
Wessler Research Group,Department of Botany & Plant Sciences,https://wesslerlab.ucr.edu/
Graduate Program,Graduate Student Affairs Officer Adrienne T,https://www.cee.ucr.edu/academics/graduate-program
Loma Vista Middle School Astronomy Night,"The undergraduate UCR Astronomy Club will be presenting at the Loma Vista Middle School Astronomy Night. Join us and learn about how to make a comet using everyday household materials, and look at …",https://bigdata.ucr.edu/fields/mc-events/loma-vista-middle-school-astronomy-night/
Microbiology & Plant Pathology,College of Natural & Agricultural Sciences,https://microplantpath.ucr.edu/
Microbiology,Overview Microbiolog,https://cnasstudent.ucr.edu/microbiology
Deadlines,"If you are not familiar with when each quarter begins at UCR, please see the quarters available. As some programs are Fall only, we encourage you to visit our Graduate Program page. Select the program name to see the application closure deadlines. Updating your term is not an option after submission.  ",https://graduate.ucr.edu/deadlines
Microbiology Graduate Program,College of Natural & Agricultural Sciences,https://microbiology.ucr.edu/
Publications,"Google Scholar A hybrid inorganic–biological artificial photosynthesis system for energy-efficient food production. Hann*, Overa*, Harland-Dunaway*, Narvaez, Le, Orozco-Cárdenas, Jiao†, Jinkerson† …",https://jinkersonlab.engr.ucr.edu/publications/
People,"Robert Jinkerson Assistant Professor, Principle Investigator Department of Chemical and Environmental Engineering Department of Botany and Plant Sciences University of California, Riverside Simons …",https://jinkersonlab.engr.ucr.edu/people/
Research,Some of the current research topics in the lab include: Functional genomics in the green lineage using Chlamydomonas: Many genes in plants and algae have unknown functions. Using high-throughput me…,https://jinkersonlab.engr.ucr.edu/research/
Jinkerson Lab,"@ University of California, Riverside",https://jinkersonlab.engr.ucr.edu/
Positions,Open Post-Doc Positions Coming soon. Graduate Applicants Prospective graduate students who are interested in joining the lab need to apply for one of the degree options described on the UCR Graduat…,https://jinkersonlab.engr.ucr.edu/positions/
"Academic Preparation, Recruitment & Outreach",APRO,https://apro.ucr.edu/
Microbiology Graduate Ambassador,"Meet Jesús Peña, our Graduate Ambassador Click on this video to watch him explain why you should consider UC Riverside's Microbiology Program for your Graduate Training.",https://microbiology.ucr.edu/microbiology-graduate-ambassador
2020 FIELDS/JPL Summer Internship,  <!– FIELDS –> Menu <!– –> <!–UCR Big Data–> <!– –> Education High School Students Internships Undergraduate ResearchJP…,https://bigdata.ucr.edu/fields/fellowships/jplintern20/
Discovery about coral-algal symbiosis could help coral reefs recover after bleaching events,Algae’s ability to establish symbiosis in coral without photosynthesis could help fight coral bleaching,https://news.ucr.edu/articles/2022/05/02/discovery-about-coral-algal-symbiosis-could-help-coral-reefs-recover-after
Insights from algae genes unlock mysteries of plant growth and health,The discovery will improve biofuel production from algae and help develop heat-tolerant crops.,https://news.ucr.edu/articles/2022/05/09/insights-algae-genes-unlock-mysteries-plant-growth-and-health
Media,7/22/2021 – Robert interviewed by Urban Ag News Will Tomatoes Be The Next Big Commercial Crop For Vertical Farms? by David Kuack 7/7/2021 – Robert interviewed on NPR Robert discusses th…,https://jinkersonlab.engr.ucr.edu/videos/
MSRIP,Undergraduate Summer Research Program Mentoring Summer Research Internship Program (MSRIP)  ,https://apro.ucr.edu/undergrad/msrip
CNAS Graduate Ambassadors,Learn more about our graduate science programs! Meet our CNAS Graduate Student Ambassadors and discover why they chose UCR for their graduate training. Our ambassadors are actively engaged in recruitment and have a passion for outreach. Click on a video to learn more about them and some of the research opportunities at UCR. You can also follow them on Twitter.,https://cnasgrad.ucr.edu/cnas-graduate-ambassadors
Plant Transformation Research Center,College of Natural & Agricultural Sciences,https://ptrc.ucr.edu/
Astronauts might soon grow SPACE tomatoes,Grant to UC Riverside could help put tiny tomato plants on the International Space Station,https://news.ucr.edu/articles/2019/04/25/astronauts-might-soon-grow-space-tomatoes
2023 Faculty Research List,2023 Faculty Research will be listed here,https://apro.ucr.edu/2023-faculty-research-list
Tiny tomatoes could mean big profits for urban agriculture,Grants support continued development of tomatoes for vertical farming,https://news.ucr.edu/articles/2021/05/24/tiny-tomatoes-could-mean-big-profits-urban-agriculture
Cosmic Thursdays Public Lecture,"Cosmic Thursdays is a series of free, public lectures on astronomy. The lectures are designed with the general public in mind, and are fun, easy to understand, and engaging.   Do you know that…",https://bigdata.ucr.edu/fields/mc-events/cosmic-thursdays-public-lecture-2/
2023 Graduate Division's Summer Programs - Faculty Interest Form, ,https://grad.ucr.edu/register/form?id=4ebdcab5-b3a3-428c-8743-e7e83587a25c
People,: UC Riverside Engineering | Meet the College Leadership at the Marlan and Rosemary Bourns College of Engineering,https://www.engr.ucr.edu/people
Graduate Division,Promoting Graduate Education,https://graduate.ucr.edu/document/gradeedge-2021-faq
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/rjinkers
UC Leads,UC Leadership Excellence through Advanced Degrees,https://apro.ucr.edu/undergrad/uc-leads
CNAS Graduate Studies, ,https://grad.ucr.edu/register/form?id=485d1449-faed-4677-ba8d-64ae4c519f15
UC LEADS Program Application, ,https://grad.ucr.edu/register/form?id=2ec1cc27-1e47-4ab8-9880-39c70f13604e
Why the NBA is seeking technology built by UCR students and alumni,"EDGE Sound Research, co-founded by a student and an alum, was one of seven companies from around the world selected for the NBA Launchpad program.",https://news.ucr.edu/articles/2023/03/21/why-nba-seeking-technology-built-ucr-students-and-alumni
New Vice Provost & Dean of Graduate Studies named,"Lidia Kos has been named UC Riverside’s next vice provost & dean of graduate studies, or VPDGS, effective July 15, 2023.",https://news.ucr.edu/articles/2023/03/24/new-vice-provost-dean-graduate-studies-named
New center to study labor issues in the Inland Empire,Inland Empire Labor and Community Research Center at UC Riverside is one of five UC centers meant to advance timely labor research.,https://news.ucr.edu/articles/2023/04/17/new-center-study-labor-issues-inland-empire
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/pchagas
Office of Technology Partnerships,Helping Your Ideas Benefit Society,https://ucrotp.ucr.edu/
Cosmic Thursdays Public Lecture,"Comsmic Thursdays a series of free, public lectures on astronomy. The lectures are designed with the general public in mind, and are fun, easy to understand, and engaging.   Today’s lect…",https://bigdata.ucr.edu/fields/mc-events/cosmic-thursdays-public-lecture/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/acheney
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/jdelreal
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/richyueh
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/nataliez
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/scottp
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/katherst
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/chehai
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/melhafsi
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/marlor
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/brwong
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/feminap
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/weixiny
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/mdong
Office of Technology Partnerships,Helping Your Ideas Benefit Society,https://ucrotp.ucr.edu/news
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/flipt
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/weifeng
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/tkramer
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/vijayas
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/aiputman
"Home > Sika Zheng > UC Riverside, School of Medicine",Brain RNA Biology lab led by Prof. Sika Zheng,https://zhenglab.ucr.edu/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/katherib
⟨χ|UCR|ν⟩,"
Shawn Westerdale[He/him/his]
Assistant Professor
UC Riverside
Department of Physics & Astronomy
Our goal
to shine light on dark matter—the mysterious matter that makes up 85% of the mass of all matter in the universe but lies outside our understanding of particle physics—using direct detection",https://sites.google.com/ucr.edu/darkmatter/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/qixuanw
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/kostevik
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/joels
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/tgarland
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/kurta
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/phomyak
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/fhopkins
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/elias
"Riverside Angel Summit finalists are promising medical, agricultural, and energy startups",The four finalists were founded in Riverside County and are developing with support of the UC Riverside Office of Technology Partnerships,https://news.ucr.edu/articles/2021/12/14/riverside-angel-summit-finalists-are-promising-medical-agricultural-and-energy
Arratia Research Group,Department of Physics & Astronomy,https://arratialab.ucr.edu/
⟨χ|UCR|ν⟩,"
Shawn Westerdale[He/him/his]
Assistant Professor
UC Riverside
Department of Physics & Astronomy
Our goal
to shine light on dark matter—the mysterious matter that makes up 85% of the mass of all matter in the universe but lies outside our understanding of particle physics—using direct detection",https://sites.google.com/ucr.edu/darkmatter/home
Heyrim Cho,"Heyrim Cho Department of Mathematics,",https://icqmb.ucr.edu/heyrim-cho
Russell Rockne,Russell Rockne Department of Computation,https://icqmb.ucr.edu/russell-rockne
Asian American shootings: This is ‘not an exception’ and other issues that need to be discussed,"Farm working, mental health, and social and cultural barriers that some Asian American communities face.",https://news.ucr.edu/articles/2023/01/25/asian-american-shootings-not-exception-and-other-issues-need-be-discussed
⟨χ|UCR|ν⟩ - People,"
Shawn Westerdale
Assistant Professor of Physics
Shawn's (he/him) research focuses on dark matter and neutrinos, as well as R&D developing low-threshold and low-background detectors. In 2011, he got his S.B. in from MIT, where he switched from a Nuclear Engineering to a Physics major after being",https://sites.google.com/ucr.edu/darkmatter/people
⟨χ|UCR|ν⟩ - Outreach,"
Recent and upcoming outreach activities",https://sites.google.com/ucr.edu/darkmatter/outreach
⟨χ|UCR|ν⟩ - Contact,"

",https://sites.google.com/ucr.edu/darkmatter/contact
⟨χ|UCR|ν⟩ - Publications,"
The most complete and up-to-date list of publications can be found in the automatic listings in",https://sites.google.com/ucr.edu/darkmatter/publications
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/toshiay
[Canceled] UCR Youth Camp,The UCR Astronomy graduate students will be presenting hands-on activities at the UCR Youth Camp. Multiple sessions are scheduled for students ranging from 5 to 15 years old.,https://bigdata.ucr.edu/fields/mc-events/canceled-ucr-youth-camp/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/kalinam
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/cpark020
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/dylanr
Field Safety,"Field Safety  Safely working and conducting research outdoors, off-campus, and abroad.  For more information or questions, please contact Pamela See at EH&S at (951) 827-5528.",https://ehs.ucr.edu/laboratory/field
UC Learning Center,UCLC Support,https://ucrlearning.ucr.edu/
Faculty Members,*/ /*-->*/,https://mathdept.ucr.edu/faculty/all
Emergency Preparedness,Emergency Response Procedures Emergency preparedness is a well-known concept in protecting workers' safety and health.,https://emergency.ucr.edu/emergency-preparedness
Center for Integrative Biological Collections,COLLEGE OF NATURAL & AGRICULTURAL SCIENCES,https://cibc.ucr.edu/
CAFE,Advancing science while having fun,https://cafe.ucr.edu/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://campusmap.ucr.edu/emergency/
Center for Integrative Bee Research (CIBER),Safeguarding Bees,https://ciber.ucr.edu/
Utility shut-off,  Utility shut-off A utility shutdown can happen due to an unplanned event or scheduled maintenance.,https://ehs.ucr.edu/laboratory/utilities
Center for Invasive Species Research,DEPARTMENT OF ENTOMOLOGY,https://cisr.ucr.edu/
"Student led ""Hunger Free 2050"" events","  Higher education institutions, especially land-grant universities such as UCR, are well positioned to catalyze transformative agriculture and life science educational opportunities so that we prepare students to understand the complex issues surrounding the current agrifood systems and their environmental, economic, and societal impact (Galt R.E. et al., 2012).  ",https://cafe.ucr.edu/student-led-hunger-free-2050-events
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://icqmb.ucr.edu/9th-annual-southern-california-regional-systems-biology-conference%2520
How mountain streams signal climate change,"A new tool designed by UC Riverside researchers can better assess an overlooked indicator of global warming: the variety of bugs, worms, and snails living in high mountain streams. ",https://news.ucr.edu/articles/2022/04/07/how-mountain-streams-signal-climate-change
Canvas is UCR’s New Learning Management System,"As of July 1, 2022, Canvas (eLearn) is UC Riverside’s official learning management system, replacing Blackboard (iLearn). To log into Canvas, please go to elearn.ucr.edu.",https://its.ucr.edu/canvas
Center for Infectious Disease and Vector Research,College of Natural & Agricultural Sciences,https://cdvr.ucr.edu/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://morikis-symposium.engr.ucr.edu/%2520
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/araikhel
Harry Scott Smith Scholarship Fund,"  You can help with the Harry Scott Smith Scholarship If you would like to support this scholarship but have more questions, please download this brochure or contact Mark Hoddle by email (mark.hoddle@ucr.edu) or by phone (951) 827-4714. A tax-deductible donation can be made online, here. ",https://biocontrol.ucr.edu/harry-scott-smith-scholarship-fund
Department of Mathematics,College of Natural & Agricultural Sciences,https://mathdept.ucr.edu/
Cosmic Thursdays Public Lecture,"Cosmic Thursdays is a series of free, public lectures on astronomy. The lectures are designed with the general public in mind, and are fun, easy to understand, and engaging.   Did you know the…",https://bigdata.ucr.edu/fields/mc-events/cosmic-thursdays-public-lecture-3/
Alumni Listings,  A Small Sampling of our VAP and Graduate Student Alumni Outside of UCR  ,https://mathdept.ucr.edu/visitors-alumni/alumni
12th annual SCEP Symposium Registration,Registration for the 12th Annual SCEP Symposium is now open!!! SCEP2022 registration  ,https://scep.ucr.edu/12th-annual-scep-symposium-registration
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/jgou
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/heyrimc
After Visit Resources,    Coming Soon...    ,https://mathdept.ucr.edu/visitors-alumni/after-visit-resources
UCR math professor wins prestigious Fulbright scholarship,Award enables Netherlands partnership for computational and mathematical biology ,https://insideucr.ucr.edu/awards/2023/02/17/ucr-math-professor-wins-prestigious-fulbright-scholarship
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/malber
Harnessing noise to parse out birth and death rates from population size time series data,"Dr. Linh Huynh, University of Utah",https://icqmb.ucr.edu/event-list/2023/05/02/harnessing-noise-parse-out-birth-and-death-rates-population-size-time-series
Math Department Seminars,Math Department Seminar Information,https://mathdept.ucr.edu/events/weekly-seminars
Outstanding Global Ambassador Award 2023,Outstanding Global Ambass,https://mathdept.ucr.edu/news/2023/04/24/outstanding-global-ambassador-award-2023
Home,"A one-day event featuring:
A diverse set of expository mathematics lectures which cover a wide range of topics within mathematics, and which may be suitable for non-expert attendees.
A panel discussion on building a future with mathematics. Here, the speakers will talk about their own paths within",https://sites.google.com/ucr.edu/mathematicalpathways/home
SIAM chapter at UCR,"The purpose of this student chapter is 

to organize activities that foster the application of mathematics and computational science to engineering, industry, science, and society,  
to promote research in applied and computational mathematics, and interdisciplinary studies in general, 
to ensure a",https://sites.google.com/ucr.edu/ucr-siam-student-chapter
New Visit Resources,MATH VISITOR RESOURCES MATH ALUMNI RESOURCES Visitor Information Form,https://mathdept.ucr.edu/visitors-alumni/new-visit-resources
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/vyjayanc
Sara Lapan,Home Page,https://math.ucr.edu/~slapan/mathedseminar.html
UCRAA Membership,"Forever Highlanders   UCR has a growing network of alumni across the globe, united by UCR’s world-class education. We invite you to join this powerful community of support, pride, and unity. Become a UCR Alumni Association member – it’s the next best thing to being back on campus.",https://alumni.ucr.edu/ucraa-membership
Your UCR NetID,"Your UCR NetID is your unique identifier, and all UCR University Extension students are required to have one in order to access online courses and other resources.",https://extension.ucr.edu/helpcenterstudentresources/academicandtechnologyresources/yourucrnetid
Members of the Applied Math Group,"UCR Applied Math Field of applied mathematics includes development of novel and application of novel and existing mathematical and computational methods to physics, biology, medicine, engineering, data science, computer science, business, and industry.",https://mathdept.ucr.edu/members-applied-math-group
